season_year,team_name_home,total_points,assists,rebounds,steals,blocks,games_played,wins,total_points_against,points_per_game,assists_per_game,rebounds_per_game,win_loss_ratio,point_differential,championship_winner
2016,San Antonio Spurs,5523.0,1297.0,2272.0,420.0,303.0,52,38,5139.0,106.21153846153847,24.942307692307693,43.69230769230769,0.7307692307692307,384.0,0
2016,Toronto Raptors,5375.0,952.0,2141.0,393.0,263.0,49,32,5051.0,109.6938775510204,19.428571428571427,43.69387755102041,0.6530612244897959,324.0,0
2016,Utah Jazz,4934.0,962.0,2085.0,339.0,226.0,49,31,4694.0,100.6938775510204,19.632653061224488,42.55102040816327,0.6326530612244898,240.0,0
2016,Washington Wizards,5496.0,1239.0,2157.0,427.0,233.0,50,38,5181.0,109.92,24.78,43.14,0.76,315.0,0
2017,Atlanta Hawks,4489.0,1089.0,1791.0,322.0,184.0,43,17,4657.0,104.3953488372093,25.325581395348838,41.651162790697676,0.3953488372093023,-168.0,0
2017,Boston Celtics,5691.0,1282.0,2427.0,401.0,270.0,54,39,5364.0,105.38888888888889,23.74074074074074,44.94444444444444,0.7222222222222222,327.0,0
2017,Brooklyn Nets,4678.0,1006.0,1957.0,283.0,228.0,44,17,4771.0,106.31818181818181,22.863636363636363,44.47727272727273,0.38636363636363635,-93.0,0
2017,Charlotte Hornets,4718.0,936.0,1962.0,289.0,219.0,43,22,4632.0,109.72093023255815,21.767441860465116,45.627906976744185,0.5116279069767442,86.0,0
2017,Chicago Bulls,4549.0,1084.0,1946.0,340.0,165.0,44,18,4758.0,103.38636363636364,24.636363636363637,44.22727272727273,0.4090909090909091,-209.0,0
2017,Cleveland Cavaliers,5998.0,1278.0,2331.0,389.0,211.0,55,37,5940.0,109.05454545454545,23.236363636363638,42.38181818181818,0.6727272727272727,58.0,0
2017,Dallas Mavericks,4580.0,1018.0,1898.0,317.0,168.0,44,18,4531.0,104.0909090909091,23.136363636363637,43.13636363636363,0.4090909090909091,49.0,0
2017,Denver Nuggets,4662.0,1128.0,1918.0,322.0,213.0,42,31,4427.0,111.0,26.857142857142858,45.666666666666664,0.7380952380952381,235.0,0
2017,Detroit Pistons,4655.0,1048.0,1987.0,312.0,169.0,44,27,4500.0,105.79545454545455,23.818181818181817,45.15909090909091,0.6136363636363636,155.0,0
2017,Golden State Warriors,6216.0,1632.0,2446.0,428.0,404.0,55,40,5741.0,113.01818181818182,29.672727272727272,44.472727272727276,0.7272727272727273,475.0,1
2017,Houston Rockets,6012.0,1182.0,2348.0,479.0,252.0,53,42,5512.0,113.43396226415095,22.30188679245283,44.301886792452834,0.7924528301886793,500.0,0
2017,Indiana Pacers,4805.0,1016.0,1948.0,387.0,192.0,45,30,4631.0,106.77777777777777,22.57777777777778,43.28888888888889,0.6666666666666666,174.0,0
2017,Los Angeles Clippers,4910.0,1043.0,1984.0,347.0,194.0,45,24,4872.0,109.11111111111111,23.177777777777777,44.08888888888889,0.5333333333333333,38.0,0
2017,Los Angeles Lakers,4864.0,1124.0,2195.0,378.0,218.0,46,21,4861.0,105.73913043478261,24.434782608695652,47.71739130434783,0.45652173913043476,3.0,0
2017,Memphis Grizzlies,4432.0,981.0,1855.0,344.0,242.0,44,18,4507.0,100.72727272727273,22.295454545454547,42.15909090909091,0.4090909090909091,-75.0,0
2017,Miami Heat,4822.0,1031.0,1994.0,355.0,250.0,46,29,4751.0,104.82608695652173,22.41304347826087,43.34782608695652,0.6304347826086957,71.0,0
2017,Milwaukee Bucks,4888.0,1087.0,1815.0,389.0,278.0,46,29,4825.0,106.26086956521739,23.630434782608695,39.45652173913044,0.6304347826086957,63.0,0
2017,Minnesota Timberwolves,4900.0,1062.0,1882.0,364.0,184.0,44,31,4702.0,111.36363636363636,24.136363636363637,42.77272727272727,0.7045454545454546,198.0,0
2017,New Orleans Pelicans,5217.0,1293.0,2008.0,388.0,270.0,46,27,5143.0,113.41304347826087,28.108695652173914,43.65217391304348,0.5869565217391305,74.0,0
2017,New York Knicks,4684.0,995.0,1984.0,323.0,212.0,44,19,4677.0,106.45454545454545,22.613636363636363,45.09090909090909,0.4318181818181818,7.0,0
2017,Oklahoma City Thunder,5071.0,959.0,2127.0,412.0,241.0,47,31,4835.0,107.8936170212766,20.404255319148938,45.255319148936174,0.6595744680851063,236.0,0
2017,Orlando Magic,4564.0,1006.0,1917.0,346.0,237.0,44,19,4692.0,103.72727272727273,22.863636363636363,43.56818181818182,0.4318181818181818,-128.0,0
2017,Philadelphia 76ers,5424.0,1357.0,2398.0,419.0,274.0,49,34,5055.0,110.6938775510204,27.693877551020407,48.93877551020408,0.6938775510204082,369.0,0
2017,Phoenix Suns,4550.0,876.0,1950.0,293.0,229.0,44,11,4978.0,103.4090909090909,19.90909090909091,44.31818181818182,0.25,-428.0,0
2017,Portland Trail Blazers,4923.0,930.0,2086.0,310.0,224.0,46,30,4694.0,107.02173913043478,20.217391304347824,45.34782608695652,0.6521739130434783,229.0,0
2017,Sacramento Kings,4317.0,930.0,1787.0,305.0,178.0,43,15,4537.0,100.3953488372093,21.627906976744185,41.55813953488372,0.3488372093023256,-220.0,0
2017,San Antonio Spurs,4858.0,1088.0,2032.0,356.0,280.0,46,36,4519.0,105.6086956521739,23.652173913043477,44.17391304347826,0.782608695652174,339.0,0
2017,Toronto Raptors,5410.0,1187.0,2133.0,347.0,304.0,48,39,4942.0,112.70833333333333,24.729166666666668,44.4375,0.8125,468.0,0
2017,Utah Jazz,5123.0,1070.0,2168.0,429.0,252.0,49,34,4730.0,104.55102040816327,21.836734693877553,44.244897959183675,0.6938775510204082,393.0,0
2017,Washington Wizards,5100.0,1171.0,2064.0,372.0,228.0,47,28,4910.0,108.51063829787235,24.914893617021278,43.91489361702128,0.5957446808510638,190.0,0
2018,Atlanta Hawks,4747.0,1097.0,1940.0,294.0,232.0,41,17,4912.0,115.78048780487805,26.75609756097561,47.31707317073171,0.4146341463414634,-165.0,0
2018,Boston Celtics,5078.0,1214.0,2087.0,388.0,235.0,45,30,4801.0,112.84444444444445,26.977777777777778,46.37777777777778,0.6666666666666666,277.0,0
2018,Brooklyn Nets,4890.0,1024.0,2044.0,283.0,166.0,43,23,4806.0,113.72093023255815,23.813953488372093,47.53488372093023,0.5348837209302325,84.0,0
2018,Charlotte Hornets,4639.0,974.0,1833.0,286.0,216.0,41,25,4488.0,113.14634146341463,23.75609756097561,44.707317073170735,0.6097560975609756,151.0,0
2018,Chicago Bulls,4247.0,927.0,1753.0,289.0,156.0,41,9,4649.0,103.58536585365853,22.609756097560975,42.75609756097561,0.21951219512195122,-402.0,0
2018,Cleveland Cavaliers,4312.0,868.0,1780.0,274.0,93.0,41,13,4613.0,105.17073170731707,21.170731707317074,43.41463414634146,0.3170731707317073,-301.0,0
2018,Dallas Mavericks,4523.0,972.0,1878.0,284.0,184.0,41,24,4427.0,110.3170731707317,23.70731707317073,45.80487804878049,0.5853658536585366,96.0,0
2018,Denver Nuggets,5518.0,1340.0,2328.0,361.0,217.0,49,39,5038.0,112.61224489795919,27.346938775510203,47.51020408163265,0.7959183673469388,480.0,0
2018,Detroit Pistons,4662.0,1006.0,1976.0,289.0,176.0,43,26,4596.0,108.4186046511628,23.3953488372093,45.95348837209303,0.6046511627906976,66.0,0
2018,Golden State Warriors,6081.0,1566.0,2362.0,410.0,347.0,52,36,5795.0,116.9423076923077,30.115384615384617,45.42307692307692,0.6923076923076923,286.0,1
2018,Houston Rockets,5479.0,1005.0,2029.0,398.0,241.0,47,36,5125.0,116.57446808510639,21.382978723404257,43.170212765957444,0.7659574468085106,354.0,0
2018,Indiana Pacers,4658.0,1131.0,1910.0,362.0,229.0,43,29,4357.0,108.32558139534883,26.302325581395348,44.41860465116279,0.6744186046511628,301.0,0
2018,Los Angeles Clippers,5154.0,1125.0,2052.0,309.0,210.0,44,26,5073.0,117.13636363636364,25.568181818181817,46.63636363636363,0.5909090909090909,81.0,0
2018,Los Angeles Lakers,4551.0,1068.0,1931.0,283.0,236.0,41,22,4558.0,111.0,26.048780487804876,47.09756097560975,0.5365853658536586,-7.0,0
2018,Memphis Grizzlies,4289.0,973.0,1760.0,347.0,222.0,41,21,4271.0,104.60975609756098,23.73170731707317,42.926829268292686,0.5121951219512195,18.0,0
2018,Miami Heat,4347.0,980.0,1911.0,304.0,229.0,41,19,4337.0,106.02439024390245,23.902439024390244,46.609756097560975,0.4634146341463415,10.0,0
2018,Milwaukee Bucks,5816.0,1273.0,2485.0,360.0,287.0,49,39,5217.0,118.6938775510204,25.979591836734695,50.714285714285715,0.7959183673469388,599.0,0
2018,Minnesota Timberwolves,4700.0,1041.0,1888.0,364.0,218.0,41,25,4582.0,114.63414634146342,25.390243902439025,46.048780487804876,0.6097560975609756,118.0,0
2018,New Orleans Pelicans,4720.0,1113.0,1919.0,329.0,215.0,41,19,4756.0,115.1219512195122,27.146341463414632,46.80487804878049,0.4634146341463415,-36.0,0
2018,New York Knicks,4342.0,855.0,1842.0,259.0,206.0,41,9,4664.0,105.90243902439025,20.853658536585368,44.926829268292686,0.21951219512195122,-322.0,0
2018,Oklahoma City Thunder,4912.0,1039.0,2025.0,399.0,217.0,43,28,4714.0,114.23255813953489,24.162790697674417,47.093023255813954,0.6511627906976745,198.0,0
2018,Orlando Magic,4661.0,1070.0,1963.0,283.0,235.0,43,25,4579.0,108.3953488372093,24.88372093023256,45.651162790697676,0.5813953488372093,82.0,0
2018,Philadelphia 76ers,5541.0,1305.0,2246.0,341.0,260.0,47,35,5149.0,117.8936170212766,27.76595744680851,47.787234042553195,0.7446808510638298,392.0,0
2018,Phoenix Suns,4410.0,1004.0,1639.0,376.0,216.0,41,12,4668.0,107.5609756097561,24.48780487804878,39.97560975609756,0.2926829268292683,-258.0,0
2018,Portland Trail Blazers,5769.0,1140.0,2375.0,331.0,250.0,49,37,5401.0,117.73469387755102,23.26530612244898,48.46938775510204,0.7551020408163265,368.0,0
2018,Sacramento Kings,4712.0,1042.0,1928.0,341.0,188.0,41,24,4653.0,114.92682926829268,25.414634146341463,47.02439024390244,0.5853658536585366,59.0,0
2018,San Antonio Spurs,4966.0,1104.0,1983.0,265.0,211.0,44,34,4672.0,112.86363636363636,25.09090909090909,45.06818181818182,0.7727272727272727,294.0,0
2018,Toronto Raptors,6127.0,1359.0,2402.0,460.0,302.0,54,41,5693.0,113.46296296296296,25.166666666666668,44.48148148148148,0.7592592592592593,434.0,0
2018,Utah Jazz,4826.0,1133.0,2070.0,334.0,264.0,43,30,4491.0,112.23255813953489,26.348837209302324,48.13953488372093,0.6976744186046512,335.0,0
2018,Washington Wizards,4773.0,1094.0,1775.0,334.0,209.0,41,22,4701.0,116.41463414634147,26.682926829268293,43.292682926829265,0.5365853658536586,72.0,0
2019,Atlanta Hawks,3896.0,834.0,1514.0,248.0,180.0,34,14,3990.0,114.58823529411765,24.529411764705884,44.529411764705884,0.4117647058823529,-94.0,0
2019,Boston Celtics,5078.0,1055.0,1993.0,352.0,250.0,44,29,4752.0,115.4090909090909,23.977272727272727,45.29545454545455,0.6590909090909091,326.0,0
2019,Brooklyn Nets,4260.0,929.0,1823.0,254.0,159.0,38,20,4249.0,112.10526315789474,24.44736842105263,47.973684210526315,0.5263157894736842,11.0,0
2019,Charlotte Hornets,3231.0,751.0,1316.0,199.0,139.0,31,10,3395.0,104.2258064516129,24.225806451612904,42.45161290322581,0.3225806451612903,-164.0,0
2019,Chicago Bulls,3608.0,792.0,1476.0,337.0,151.0,34,14,3659.0,106.11764705882354,23.294117647058822,43.411764705882355,0.4117647058823529,-51.0,0
2019,Cleveland Cavaliers,3908.0,860.0,1623.0,250.0,129.0,36,11,4142.0,108.55555555555556,23.88888888888889,45.083333333333336,0.3055555555555556,-234.0,0
2019,Dallas Mavericks,4827.0,1008.0,1894.0,246.0,193.0,41,21,4661.0,117.73170731707317,24.585365853658537,46.19512195121951,0.5121951219512195,166.0,0
2019,Denver Nuggets,5100.0,1240.0,2021.0,342.0,198.0,46,31,4942.0,110.8695652173913,26.956521739130434,43.93478260869565,0.6739130434782609,158.0,0
2019,Detroit Pistons,3607.0,812.0,1382.0,231.0,152.0,33,11,3675.0,109.3030303030303,24.606060606060606,41.878787878787875,0.3333333333333333,-68.0,0
2019,Golden State Warriors,3637.0,892.0,1458.0,273.0,143.0,34,8,3933.0,106.97058823529412,26.235294117647058,42.88235294117647,0.23529411764705882,-296.0,0
2019,Houston Rockets,4896.0,936.0,1879.0,362.0,220.0,42,28,4655.0,116.57142857142857,22.285714285714285,44.73809523809524,0.6666666666666666,241.0,0
2019,Indiana Pacers,4196.0,997.0,1651.0,279.0,211.0,38,25,4035.0,110.42105263157895,26.236842105263158,43.44736842105263,0.6578947368421053,161.0,0
2019,Los Angeles Clippers,5032.0,1023.0,2094.0,308.0,211.0,43,30,4695.0,117.02325581395348,23.790697674418606,48.69767441860465,0.6976744186046512,337.0,0
2019,Los Angeles Lakers,5348.0,1229.0,2176.0,399.0,305.0,47,34,4997.0,113.7872340425532,26.148936170212767,46.297872340425535,0.723404255319149,351.0,0
2019,Memphis Grizzlies,4194.0,1032.0,1749.0,291.0,214.0,37,20,4149.0,113.35135135135135,27.89189189189189,47.270270270270274,0.5405405405405406,45.0,0
2019,Miami Heat,5267.0,1225.0,2047.0,337.0,199.0,46,35,4922.0,114.5,26.630434782608695,44.5,0.7608695652173914,345.0,0
